TimeDelta,Length,Port,Protocol,Length,Info
0.000255,1483,443,TLSv1.2,1483,"Application Data, Application Data"
0.00028,1483,443,TCP,1483,36646  >  443 [ACK] Seq=7217 Ack=40 Win=1339 Len=1368 TSval=6783 TSecr=3423965920 [TCP segment of a reassembled PDU]
0.000416,1483,443,TLSv1.2,1483,Application Data
0.000294,1483,443,TLSv1.2,1483,Application Data
0.000267,1483,443,TCP,1483,36646  >  443 [ACK] Seq=11321 Ack=40 Win=1339 Len=1368 TSval=6783 TSecr=3423965920 [TCP segment of a reassembled PDU]
0.000454,1483,443,TLSv1.2,1483,Application Data
0.000345,1483,443,TLSv1.2,1483,Application Data
0.033502,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=7217 Win=1050 Len=0 TSval=3423965955 TSecr=6783
0.000164,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=8585 Win=1050 Len=0 TSval=3423965955 TSecr=6783
0.000144,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=9953 Win=1050 Len=0 TSval=3423965955 TSecr=6783
0.000146,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=11321 Win=1050 Len=0 TSval=3423965955 TSecr=6783
0.000219,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=12689 Win=1050 Len=0 TSval=3423965956 TSecr=6783
0.000141,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=14057 Win=1050 Len=0 TSval=3423965956 TSecr=6783
0.000157,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=15425 Win=1050 Len=0 TSval=3423965956 TSecr=6783
0.000267,1483,443,TCP,1483,"36646  >  443 [PSH, ACK] Seq=15425 Ack=40 Win=1339 Len=1368 TSval=6787 TSecr=3423965955 [TCP segment of a reassembled PDU]"
0.001379,1483,443,TLSv1.2,1483,Application Data
0.000199,1483,443,TLSv1.2,1483,Application Data
0.000327,1483,443,TCP,1483,36646  >  443 [ACK] Seq=19529 Ack=40 Win=1339 Len=1368 TSval=6787 TSecr=3423965955 [TCP segment of a reassembled PDU]
0.000264,1483,443,TLSv1.2,1483,Application Data
0.000261,1483,443,TLSv1.2,1483,Application Data
0.00042,1483,443,TCP,1483,36646  >  443 [ACK] Seq=23633 Ack=40 Win=1339 Len=1368 TSval=6787 TSecr=3423965956 [TCP segment of a reassembled PDU]
0.000318,1483,443,TLSv1.2,1483,Application Data
0.00027,1483,443,TCP,1483,36646  >  443 [ACK] Seq=26369 Ack=40 Win=1339 Len=1368 TSval=6787 TSecr=3423965956 [TCP segment of a reassembled PDU]
0.000424,1483,443,TLSv1.2,1483,Application Data
0.000395,1483,443,TCP,1483,36646  >  443 [ACK] Seq=29105 Ack=40 Win=1339 Len=1368 TSval=6787 TSecr=3423965956 [TCP segment of a reassembled PDU]
0.030297,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=18161 Win=1050 Len=0 TSval=3423965992 TSecr=6787
0.000196,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=20897 Win=1050 Len=0 TSval=3423965993 TSecr=6787
0.000795,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=23633 Win=1050 Len=0 TSval=3423965994 TSecr=6787
0.000501,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=26369 Win=1050 Len=0 TSval=3423965994 TSecr=6787
0.000604,115,36646,TCP,115,[TCP Dup ACK 93#1] 443  >  36646 [ACK] Seq=40 Ack=26369 Win=1050 Len=0 TSval=3423965994 TSecr=6787
0.000151,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=29105 Win=1050 Len=0 TSval=3423965995 TSecr=6787
0.000269,1483,443,TLSv1.2,1483,Application Data
0.000455,1483,443,TLSv1.2,1483,Application Data
0.000332,1483,443,TCP,1483,36646  >  443 [ACK] Seq=33209 Ack=40 Win=1339 Len=1368 TSval=6791 TSecr=3423965993 [TCP segment of a reassembled PDU]
0.000292,1483,443,TLSv1.2,1483,Application Data
0.000414,1483,443,TLSv1.2,1483,Application Data
0.000335,1483,443,TCP,1483,36646  >  443 [ACK] Seq=37313 Ack=40 Win=1339 Len=1368 TSval=6791 TSecr=3423965994 [TCP segment of a reassembled PDU]
0.00027,1483,443,TLSv1.2,1483,Application Data
0.000414,1483,443,TCP,1483,36646  >  443 [ACK] Seq=40049 Ack=40 Win=1339 Len=1368 TSval=6791 TSecr=3423965994 [TCP segment of a reassembled PDU]
0.000335,1483,443,TLSv1.2,1483,Application Data
0.000431,1483,443,TCP,1483,36646  >  443 [ACK] Seq=42785 Ack=40 Win=1339 Len=1368 TSval=6791 TSecr=3423965994 [TCP segment of a reassembled PDU]
0.000317,1483,443,TLSv1.2,1483,Application Data
0.000291,1483,443,TCP,1483,36646  >  443 [ACK] Seq=45521 Ack=40 Win=1339 Len=1368 TSval=6791 TSecr=3423965995 [TCP segment of a reassembled PDU]
0.000912,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=30473 Win=1050 Len=0 TSval=3423966000 TSecr=6787
0.002272,1483,443,TLSv1.2,1483,Application Data
0.026712,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=33209 Win=1050 Len=0 TSval=3423966029 TSecr=6791
0.000487,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=35945 Win=1050 Len=0 TSval=3423966029 TSecr=6791
0.000719,1483,443,TCP,1483,[TCP Previous segment not captured] 36646  >  443 [ACK] Seq=49625 Ack=40 Win=1339 Len=1368 TSval=6794 TSecr=3423966029 [TCP segment of a reassembled PDU]
0.00035,1483,443,TCP,1483,36646  >  443 [ACK] Seq=50993 Ack=40 Win=1339 Len=1368 TSval=6794 TSecr=3423966029 [TCP segment of a reassembled PDU]
0.000227,1483,443,TLSv1.2,1483,Application Data
0.000118,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=38681 Win=1050 Len=0 TSval=3423966030 TSecr=6791
0.000425,1483,443,TCP,1483,"[TCP Retransmission] 36646  >  443 [PSH, ACK] Seq=52361 Ack=40 Win=1339 Len=1368 TSval=6794 TSecr=3423966029"
0.00016,833,443,TLSv1.2,833,Application Data
0.000447,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=42785 Win=1041 Len=0 TSval=3423966031 TSecr=6791
0.000194,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=45521 Win=1050 Len=0 TSval=3423966032 TSecr=6791
0.002653,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=48257 Win=1050 Len=0 TSval=3423966034 TSecr=6791
0.007762,115,36646,TCP,115,[TCP ACKed unseen segment] 443  >  36646 [ACK] Seq=40 Ack=49625 Win=1050 Len=0 TSval=3423966040 TSecr=6791
0.021413,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=52361 Win=1050 Len=0 TSval=3423966063 TSecr=6794
0.000498,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=54447 Win=1050 Len=0 TSval=3423966064 TSecr=6794
0.000927,1483,443,TCP,1483,36646  >  443 [ACK] Seq=54447 Ack=40 Win=1339 Len=1368 TSval=6798 TSecr=3423966063 [TCP segment of a reassembled PDU]
0.000354,1483,443,TCP,1483,36646  >  443 [ACK] Seq=55815 Ack=40 Win=1339 Len=1368 TSval=6798 TSecr=3423966063 [TCP segment of a reassembled PDU]
0.000224,262,443,TLSv1.2,262,Application Data
0.000071,262,443,TCP,262,"[TCP Retransmission] 36646  >  443 [PSH, ACK] Seq=57183 Ack=40 Win=1339 Len=147 TSval=6798 TSecr=3423966063"
0.00012,262,443,TCP,262,"[TCP Retransmission] 36646  >  443 [PSH, ACK] Seq=57183 Ack=40 Win=1339 Len=147 TSval=6798 TSecr=3423966063"
0.000146,652,443,TLSv1.2,652,Application Data
0.032781,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=57183 Win=1050 Len=0 TSval=3423966099 TSecr=6798
0.000202,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=57330 Win=1050 Len=0 TSval=3423966099 TSecr=6798
0.000284,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=57867 Win=1050 Len=0 TSval=3423966099 TSecr=6798
0.102517,1483,443,TCP,1483,36646  >  443 [ACK] Seq=57867 Ack=40 Win=1339 Len=1368 TSval=6811 TSecr=3423966099 [TCP segment of a reassembled PDU]
0.000321,1483,443,TCP,1483,36646  >  443 [ACK] Seq=59235 Ack=40 Win=1339 Len=1368 TSval=6811 TSecr=3423966099 [TCP segment of a reassembled PDU]
0.032027,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=60603 Win=1050 Len=0 TSval=3423966234 TSecr=6811
0.0002,115,36646,TCP,115,[TCP ACKed unseen segment] 443  >  36646 [ACK] Seq=40 Ack=60750 Win=1050 Len=0 TSval=3423966234 TSecr=6811
0.000147,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=62208 Win=1048 Len=0 TSval=3423966234 TSecr=6811
0.085338,1483,443,TCP,1483,[TCP Previous segment not captured] 36646  >  443 [ACK] Seq=62208 Ack=40 Win=1339 Len=1368 TSval=6823 TSecr=3423966234 [TCP segment of a reassembled PDU]
0.000427,1483,443,TCP,1483,36646  >  443 [ACK] Seq=63576 Ack=40 Win=1339 Len=1368 TSval=6823 TSecr=3423966234 [TCP segment of a reassembled PDU]
0.000227,262,443,TLSv1.2,262,Application Data
0.000224,495,443,TLSv1.2,495,Application Data
0.033219,115,36646,TCP,115,[TCP ACKed unseen segment] 443  >  36646 [ACK] Seq=40 Ack=65471 Win=1041 Len=0 TSval=3423966354 TSecr=6823
0.09862,1483,443,TCP,1483,36646  >  443 [ACK] Seq=65471 Ack=40 Win=1339 Len=1368 TSval=6836 TSecr=3423966354 [TCP segment of a reassembled PDU]
0.000181,1483,443,TCP,1483,[TCP Retransmission] 36646  >  443 [ACK] Seq=65471 Ack=40 Win=1339 Len=1368 TSval=6836 TSecr=3423966354
0.00019,1483,443,TCP,1483,36646  >  443 [ACK] Seq=66839 Ack=40 Win=1339 Len=1368 TSval=6837 TSecr=3423966354 [TCP segment of a reassembled PDU]
0.000272,262,443,TLSv1.2,262,Application Data
0.000269,1483,443,TCP,1483,36646  >  443 [ACK] Seq=68354 Ack=40 Win=1339 Len=1368 TSval=6837 TSecr=3423966354 [TCP segment of a reassembled PDU]
0.000225,205,443,TLSv1.2,205,Application Data
0.027606,182,36646,TLSv1.2,182,Application Data
0.000195,153,36646,TLSv1.2,153,Application Data
0.00015,169,36646,TLSv1.2,169,Application Data
0.000858,115,443,TCP,115,36646  >  443 [ACK] Seq=69812 Ack=199 Win=1339 Len=0 TSval=6843 TSecr=3423966515
0.019402,163,443,TLSv1.2,163,Application Data
0.037183,115,36646,TCP,115,443  >  36646 [ACK] Seq=199 Ack=69860 Win=1050 Len=0 TSval=3423966573 TSecr=6845
0.004523,1483,443,TCP,1483,36646  >  443 [ACK] Seq=69860 Ack=199 Win=1339 Len=1368 TSval=6849 TSecr=3423966573 [TCP segment of a reassembled PDU]
0.000257,1483,443,TCP,1483,36646  >  443 [ACK] Seq=71228 Ack=199 Win=1339 Len=1368 TSval=6849 TSecr=3423966573 [TCP segment of a reassembled PDU]
0.000266,262,443,TLSv1.2,262,Application Data
0.000272,579,443,TLSv1.2,579,Application Data
0.02887,175,36646,TLSv1.2,175,Application Data
0.00387,115,36646,TCP,115,443  >  36646 [ACK] Seq=259 Ack=72596 Win=1050 Len=0 TSval=3423966611 TSecr=6849
0.000294,115,36646,TCP,115,443  >  36646 [ACK] Seq=259 Ack=73207 Win=1050 Len=0 TSval=3423966611 TSecr=6849
0.034838,115,443,TCP,115,36646  >  443 [ACK] Seq=73207 Ack=259 Win=1339 Len=0 TSval=6856 TSecr=3423966606
0.063917,1483,443,TCP,1483,36646  >  443 [ACK] Seq=73207 Ack=259 Win=1339 Len=1368 TSval=6862 TSecr=3423966606 [TCP segment of a reassembled PDU]
0.000275,1483,443,TCP,1483,36646  >  443 [ACK] Seq=74575 Ack=259 Win=1339 Len=1368 TSval=6862 TSecr=3423966606 [TCP segment of a reassembled PDU]
0.000286,262,443,TLSv1.2,262,Application Data
0.000276,1483,443,TCP,1483,36646  >  443 [ACK] Seq=76090 Ack=259 Win=1339 Len=1368 TSval=6862 TSecr=3423966606 [TCP segment of a reassembled PDU]
0.000226,205,443,TLSv1.2,205,Application Data
0.035104,115,36646,TCP,115,443  >  36646 [ACK] Seq=259 Ack=75943 Win=1050 Len=0 TSval=3423966744 TSecr=6862
0.001378,115,36646,TCP,115,[TCP Dup ACK 169#1] 443  >  36646 [ACK] Seq=259 Ack=75943 Win=1050 Len=0 TSval=3423966744 TSecr=6862
0.00019,115,36646,TCP,115,443  >  36646 [ACK] Seq=259 Ack=77458 Win=1050 Len=0 TSval=3423966744 TSecr=6862
0.001104,115,36646,TCP,115,443  >  36646 [ACK] Seq=259 Ack=77548 Win=1050 Len=0 TSval=3423966749 TSecr=6862
0.007651,461,36646,TLSv1.2,461,Application Data
0.000464,115,443,TCP,115,36646  >  443 [ACK] Seq=77548 Ack=605 Win=1339 Len=0 TSval=6867 TSecr=3423966756
0.079947,1483,443,TCP,1483,36646  >  443 [ACK] Seq=77548 Ack=605 Win=1339 Len=1368 TSval=6874 TSecr=3423966756 [TCP segment of a reassembled PDU]
0.000205,1483,443,TCP,1483,36646  >  443 [ACK] Seq=78916 Ack=605 Win=1339 Len=1368 TSval=6874 TSecr=3423966756 [TCP segment of a reassembled PDU]
0.005675,1483,443,TCP,1483,[TCP Retransmission] 36646  >  443 [ACK] Seq=78916 Ack=605 Win=1339 Len=1368 TSval=6874 TSecr=3423966756
0.000388,1483,443,TCP,1483,[TCP Retransmission] 36646  >  443 [ACK] Seq=78916 Ack=605 Win=1339 Len=1368 TSval=6874 TSecr=3423966756
0.00062,1483,443,TCP,1483,[TCP Retransmission] 36646  >  443 [ACK] Seq=78916 Ack=605 Win=1339 Len=1368 TSval=6874 TSecr=3423966756
0.001536,1483,443,TCP,1483,[TCP Retransmission] 36646  >  443 [ACK] Seq=78916 Ack=605 Win=1339 Len=1368 TSval=6874 TSecr=3423966756
0.000194,262,443,TLSv1.2,262,Application Data
0.000238,708,443,TLSv1.2,708,Application Data
0.010546,184,36646,TLSv1.2,184,Application Data
0.000819,115,443,TCP,115,36646  >  443 [ACK] Seq=81024 Ack=674 Win=1339 Len=0 TSval=6878 TSecr=3423966863
0.011095,115,36646,TCP,115,443  >  36646 [ACK] Seq=674 Ack=78916 Win=1050 Len=0 TSval=3423966875 TSecr=6874
0.003623,115,36646,TCP,115,443  >  36646 [ACK] Seq=674 Ack=80431 Win=1050 Len=0 TSval=3423966879 TSecr=6874
0.000156,115,36646,TCP,115,443  >  36646 [ACK] Seq=674 Ack=81024 Win=1050 Len=0 TSval=3423966879 TSecr=6874
0.08749,115,443,TCP,115,[TCP ACKed unseen segment] 36646  >  443 [ACK] Seq=81024 Ack=807 Win=1339 Len=0 TSval=6887 TSecr=3423966956
0.000273,115,443,TCP,115,36646  >  443 [ACK] Seq=81024 Ack=853 Win=1339 Len=0 TSval=6888 TSecr=3423966956
0.000282,1483,443,TCP,1483,36646  >  443 [ACK] Seq=81024 Ack=853 Win=1339 Len=1368 TSval=6888 TSecr=3423966956 [TCP segment of a reassembled PDU]
0.000533,1483,443,TCP,1483,36646  >  443 [ACK] Seq=82392 Ack=853 Win=1339 Len=1368 TSval=6888 TSecr=3423966956 [TCP segment of a reassembled PDU]
0.00027,262,443,TLSv1.2,262,Application Data
0.00021,1483,443,TCP,1483,36646  >  443 [ACK] Seq=83907 Ack=853 Win=1339 Len=1368 TSval=6888 TSecr=3423966956 [TCP segment of a reassembled PDU]
0.000226,205,443,TLSv1.2,205,Application Data
0.004632,313,36646,TLSv1.2,313,"[TCP Previous segment not captured] , Application Data"
0.000207,157,36646,TLSv1.2,157,Application Data
0.000782,115,443,TCP,115,[TCP ACKed unseen segment] 36646  >  443 [ACK] Seq=85365 Ack=1093 Win=1339 Len=0 TSval=6889 TSecr=3423966972
0.003008,193,36646,TLSv1.2,193,Application Data
0.000194,157,36646,TLSv1.2,157,Application Data
0.000891,115,443,TCP,115,36646  >  443 [ACK] Seq=85365 Ack=1213 Win=1339 Len=0 TSval=6889 TSecr=3423966976
0.002978,198,36646,TLSv1.2,198,Application Data
0.000195,157,36646,TLSv1.2,157,Application Data
0.000505,115,443,TCP,115,36646  >  443 [ACK] Seq=85365 Ack=1338 Win=1339 Len=0 TSval=6889 TSecr=3423966980
0.000085,115,443,TCP,115,[TCP Dup ACK 204#1] 36646  >  443 [ACK] Seq=85365 Ack=1338 Win=1339 Len=0 TSval=6889 TSecr=3423966980
0.002091,191,36646,TLSv1.2,191,Application Data
0.000197,157,36646,TLSv1.2,157,Application Data
0.001613,115,443,TCP,115,36646  >  443 [ACK] Seq=85365 Ack=1456 Win=1339 Len=0 TSval=6890 TSecr=3423966983
0.002003,198,36646,TLSv1.2,198,Application Data
0.000211,157,36646,TLSv1.2,157,Application Data
0.001824,115,443,TCP,115,36646  >  443 [ACK] Seq=85365 Ack=1581 Win=1339 Len=0 TSval=6890 TSecr=3423966987
0.000084,115,443,TCP,115,[TCP Dup ACK 211#1] 36646  >  443 [ACK] Seq=85365 Ack=1581 Win=1339 Len=0 TSval=6890 TSecr=3423966987
0.000359,115,443,TCP,115,[TCP Dup ACK 211#2] 36646  >  443 [ACK] Seq=85365 Ack=1581 Win=1339 Len=0 TSval=6890 TSecr=3423966987
0.000416,115,443,TCP,115,[TCP Dup ACK 211#3] 36646  >  443 [ACK] Seq=85365 Ack=1581 Win=1339 Len=0 TSval=6890 TSecr=3423966987
0.001253,115,443,TCP,115,[TCP Dup ACK 211#4] 36646  >  443 [ACK] Seq=85365 Ack=1581 Win=1339 Len=0 TSval=6890 TSecr=3423966987
0.000081,192,36646,TLSv1.2,192,Application Data
0.002057,157,36646,TLSv1.2,157,Application Data
0.000142,115,443,TCP,115,[TCP Dup ACK 211#5] 36646  >  443 [ACK] Seq=85365 Ack=1581 Win=1339 Len=0 TSval=6890 TSecr=3423966987
0.000392,157,36646,TCP,157,"[TCP Retransmission] 443  >  36646 [PSH, ACK] Seq=1658 Ack=81024 Win=1050 Len=42 TSval=3423966992 TSecr=6878"
0.001244,157,36646,TCP,157,"[TCP Retransmission] 443  >  36646 [PSH, ACK] Seq=1658 Ack=81024 Win=1050 Len=42 TSval=3423966992 TSecr=6878"
0.000155,192,36646,TLSv1.2,192,Application Data
0.000149,157,36646,TLSv1.2,157,Application Data
0.005411,197,36646,TLSv1.2,197,Application Data
0.000222,115,36646,TCP,115,[TCP Previous segment not captured] 443  >  36646 [ACK] Seq=1943 Ack=83760 Win=1050 Len=0 TSval=3423967000 TSecr=6888
0.001464,115,36646,TCP,115,443  >  36646 [ACK] Seq=1943 Ack=83907 Win=1050 Len=0 TSval=3423967000 TSecr=6888
0.000149,115,36646,TCP,115,443  >  36646 [ACK] Seq=1943 Ack=85365 Win=1048 Len=0 TSval=3423967001 TSecr=6888
0.000147,150,36646,TLSv1.2,150,Application Data
0.000279,115,443,TCP,115,36646  >  443 [ACK] Seq=85365 Ack=1819 Win=1339 Len=0 TSval=6891 TSecr=3423966992
0.00027,115,443,TCP,115,[TCP ACKed unseen segment] 36646  >  443 [ACK] Seq=85365 Ack=1943 Win=1339 Len=0 TSval=6891 TSecr=3423966999
0.000227,115,443,TCP,115,[TCP ACKed unseen segment] 36646  >  443 [ACK] Seq=85365 Ack=2057 Win=1339 Len=0 TSval=6892 TSecr=3423967001
0.003925,197,36646,TLSv1.2,197,"[TCP Previous segment not captured] , Application Data"
0.000193,157,36646,TLSv1.2,157,Application Data
0.000719,115,443,TCP,115,[TCP ACKed unseen segment] 36646  >  443 [ACK] Seq=85365 Ack=2223 Win=1339 Len=0 TSval=6892 TSecr=3423967002
0.00117,192,36646,TLSv1.2,192,Application Data
0.000241,157,36646,TLSv1.2,157,Application Data
0.001045,115,443,TCP,115,36646  >  443 [ACK] Seq=85365 Ack=2342 Win=1339 Len=0 TSval=6892 TSecr=3423967010
0.00276,193,36646,TLSv1.2,193,Application Data
0.000201,157,36646,TLSv1.2,157,Application Data
0.000922,115,443,TCP,115,36646  >  443 [ACK] Seq=85365 Ack=2462 Win=1339 Len=0 TSval=6893 TSecr=3423967014
0.002812,208,36646,TLSv1.2,208,Application Data
0.000202,157,36646,TLSv1.2,157,Application Data
0.001122,115,443,TCP,115,36646  >  443 [ACK] Seq=85365 Ack=2597 Win=1339 Len=0 TSval=6893 TSecr=3423967017
0.071181,1483,443,TCP,1483,36646  >  443 [ACK] Seq=85365 Ack=2597 Win=1339 Len=1368 TSval=6900 TSecr=3423967017 [TCP segment of a reassembled PDU]
0.00028,1483,443,TCP,1483,36646  >  443 [ACK] Seq=86733 Ack=2597 Win=1339 Len=1368 TSval=6900 TSecr=3423967017 [TCP segment of a reassembled PDU]
0.000293,262,443,TLSv1.2,262,Application Data
0.000231,693,443,TLSv1.2,693,Application Data
0.032771,115,36646,TCP,115,443  >  36646 [ACK] Seq=2597 Ack=88101 Win=1050 Len=0 TSval=3423967124 TSecr=6900
0.000201,115,36646,TCP,115,443  >  36646 [ACK] Seq=2597 Ack=88826 Win=1050 Len=0 TSval=3423967124 TSecr=6900
0.052308,192,36646,TLSv1.2,192,Application Data
0.000197,157,36646,TLSv1.2,157,Application Data
0.00085,115,443,TCP,115,36646  >  443 [ACK] Seq=88826 Ack=2716 Win=1339 Len=0 TSval=6909 TSecr=3423967176
0.000126,115,443,TCP,115,[TCP Dup ACK 251#1] 36646  >  443 [ACK] Seq=88826 Ack=2716 Win=1339 Len=0 TSval=6909 TSecr=3423967176
0.000139,115,443,TCP,115,[TCP Dup ACK 251#2] 36646  >  443 [ACK] Seq=88826 Ack=2716 Win=1339 Len=0 TSval=6909 TSecr=3423967176
0.000557,115,443,TCP,115,[TCP Dup ACK 251#3] 36646  >  443 [ACK] Seq=88826 Ack=2716 Win=1339 Len=0 TSval=6909 TSecr=3423967176
0.000857,115,443,TCP,115,[TCP Dup ACK 251#4] 36646  >  443 [ACK] Seq=88826 Ack=2716 Win=1339 Len=0 TSval=6909 TSecr=3423967176
0.00117,115,443,TCP,115,[TCP Dup ACK 251#5] 36646  >  443 [ACK] Seq=88826 Ack=2716 Win=1339 Len=0 TSval=6909 TSecr=3423967176
0.00196,115,443,TCP,115,[TCP Dup ACK 251#6] 36646  >  443 [ACK] Seq=88826 Ack=2716 Win=1339 Len=0 TSval=6909 TSecr=3423967176
0.003409,194,36646,TLSv1.2,194,Application Data
0.0002,157,36646,TLSv1.2,157,Application Data
0.000148,198,36646,TLSv1.2,198,Application Data
0.000147,157,36646,TLSv1.2,157,Application Data
